Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main.js,50,11,8,16,27,30,5,30,0.000%,.84994,2161.92,0.11
Index File,50,2,2,3,3,3,1,3,0.000%,.85034,1.73,0.10
TOTAL,100,6,3,15,16,29,1,30,0.000%,.61335,780.70,0.08
