Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Login,10,377,376,384,384,391,373,391,0.00%,0.365,0.22,0.09
HTTP Forgot Password,10,2159,2100,2317,2317,2578,1907,2578,0.00%,0.33833,0.08,0.08
HTTP Signup,10,775,771,818,818,832,716,832,0.00%,0.36,0.09,0.12
TOTAL,30,1100,771,1982,2285,2578,373,2578,0.00%,1.06333,0.39,0.29
