Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main.js,50,2,3,3,3,4,2,4,0.00%,0.85,1.73,0.1
Index File,50,10,10,14,17,20,6,20,0.00%,0.85034,2344.81,0.11
TOTAL,100,6,3,14,17,20,2,20,0.00%,1.7,2346.54,0.21
